lang,service,city,description
en,"Web design","Lome","Polished, fast websites for Lome businesses — from brief to launch, with SEO baked in."
en,"Web design","Kara","A custom website for your Kara-based activity, built to convince and easy to grow."
en,"Web design","Sokode","Modern, fast websites for Sokode organizations, delivered turnkey."
en,"Web design","Atakpame","Your online presence in Atakpame: a professional website that builds trust from the first visit."
en,"Web design","Bassar","Robust, elegant websites for businesses growing in Bassar."
en,"Web design","Dapaong","A clear, effective website for institutions and shops in Dapaong."
en,"SEO services","Lome","Audit and improve your visibility in Lome search results — technical, content and links."
en,"SEO services","Kara","Structured SEO to get found in Kara: full audit, action plan and measurable follow-up."
en,"SEO services","Sokode","Find out exactly what holds your Sokode pages back — and fix it, methodically."
en,"SEO services","Atakpame","Rank your Atakpame business on the local searches that actually matter."
en,"E-commerce","Lome","Online stores built to sell in Lome, from catalog to mobile money checkout."
en,"E-commerce","Kara","Sell online from Kara with a fast, clear store shaped around your customers."
en,"E-commerce","Bassar","Open your digital shopfront in Bassar: catalog, orders and tracking included."
en,"Branding","Lome","Logos, brand guidelines and collateral for Lome-based brands."
en,"Branding","Kara","Build a recognizable brand in Kara: logo, colors, typography and usage rules."
en,"Branding","Dapaong","A consistent visual identity for Dapaong organizations, from print to web."
en,"Social media","Lome","Professional social media management in Lome — calendar, content, community."
en,"Social media","Kara","Hand over your Kara social accounts: regular posts and message replies."
en,"Web maintenance","Lome","Updates, backups and monitoring for your Lome website — it stays online, you stay calm."
en,"Web maintenance","Sokode","Your Sokode site in good hands: security, performance and fast fixes."
en,"Digital training","Lome","Hands-on training in Lome: office tools, social media and content creation."
en,"Digital training","Atakpame","Level up in Atakpame — tailored sessions for teams and freelancers."
en,"Mobile apps","Lome","Useful, lightweight mobile apps for innovative projects in Lome."
en,"Mobile apps","Kara","From idea to app store: let's build your Kara business mobile app together."
