lang,prestation,ville,resume
fr,"Création de site web","Lomé","Conception de sites vitrines et corporate pour les entreprises de Lomé — design soigné, performance et référencement dès la première ligne de code."
fr,"Création de site web","Kara","Un site web sur mesure pour votre activité à Kara, pensé pour convaincre et facile à faire évoluer."
fr,"Création de site web","Sokodé","Des sites web modernes et rapides pour les organisations de Sokodé, livrés clés en main."
fr,"Création de site web","Atakpamé","Votre présence en ligne à Atakpamé : un site professionnel qui inspire confiance dès la première visite."
fr,"Création de site web","Bassar","Sites web robustes et élégants pour les entreprises qui grandissent à Bassar."
fr,"Création de site web","Dapaong","Un site web clair et efficace pour les institutions et commerces de Dapaong."
fr,"Référencement SEO","Lomé","Auditez et améliorez votre visibilité dans les résultats de recherche à Lomé — technique, contenu, netlinking."
fr,"Référencement SEO","Kara","Un SEO structuré pour être trouvé à Kara : audit complet, plan d'action et suivi mesurable."
fr,"Référencement SEO","Sokodé","Découvrez ce qui freine votre visibilité à Sokodé — et corrigez-le avec méthode."
fr,"Référencement SEO","Atakpamé","Positionnez votre activité à Atakpamé sur les recherches qui comptent, localement."
fr,"Boutique en ligne","Lomé","Des boutiques en ligne conçues pour vendre à Lomé, du catalogue au paiement mobile money."
fr,"Boutique en ligne","Kara","Vendez en ligne depuis Kara avec une store rapide, claire et adaptée à vos clients."
fr,"Boutique en ligne","Bassar","Ouvrez votre commerce digital à Bassar : catalogue, commandes et suivi intégrés."
fr,"Identité visuelle","Lomé","Logos, chartes graphiques et supports de communication pour les marques de Lomé."
fr,"Identité visuelle","Kara","Construisez une marque reconnaissable à Kara : logo, couleurs, typographies et usages."
fr,"Identité visuelle","Dapaong","Une identité visuelle cohérente pour les organisations de Dapaong, du papier à l'en-tête web."
fr,"Community management","Lomé","Animation professionnelle de vos réseaux sociaux à Lomé — calendrier, contenus, communauté."
fr,"Community management","Kara","Confiez vos réseaux sociaux à Kara : publications régulières et réponses aux messages."
fr,"Maintenance web","Lomé","Mises à jour, sauvegardes et surveillance de votre site à Lomé — il reste en ligne, vous restez serein."
fr,"Maintenance web","Sokodé","Votre site de Sokodé entre de bonnes mains : sécurité, performance et corrections rapides."
fr,"Formation numérique","Lomé","Formations pratiques à Lomé : outils bureautiques, réseaux sociaux et création de contenu."
fr,"Formation numérique","Atakpamé","Montez en compétences à Atakpamé — sessions sur mesure pour équipes et indépendants."
fr,"Application mobile","Lomé","Des applications mobiles utiles et légères pour les projets innovants de Lomé."
fr,"Application mobile","Kara","De l'idée à l'app store : développons ensemble l'application mobile de votre activité à Kara."
